epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.267,2.06309,1.94039,1.15681,0.66504,0.41373,0.45985,0.23258,1.74522,1.51249,1.08667,0.000664756,0.000664756,0.000664756
2,240.07,1.94922,1.52983,1.13181,0.64018,0.40121,0.46556,0.24241,1.71479,1.40104,1.06744,0.00130506,0.00130506,0.00130506
3,358.489,1.94818,1.49275,1.1236,0.6334,0.41095,0.47654,0.2499,1.6734,1.26456,1.06083,0.00191897,0.00191897,0.00191897
4,475.701,1.8912,1.41575,1.11355,0.68302,0.41373,0.48537,0.25221,1.70625,1.29246,1.0551,0.0018812,0.0018812,0.0018812
5,592.84,1.84415,1.37113,1.08958,0.71646,0.42301,0.51755,0.28394,1.59243,1.21314,1.0264,0.0018416,0.0018416,0.0018416
6,708.228,1.82718,1.34715,1.08216,0.68947,0.42069,0.50352,0.28276,1.56956,1.17753,1.03045,0.001802,0.001802,0.001802
7,823.474,1.79378,1.32834,1.07254,0.70873,0.42718,0.51204,0.28512,1.59966,1.19952,1.02378,0.0017624,0.0017624,0.0017624
8,940.905,1.75456,1.28464,1.06067,0.70242,0.43321,0.51361,0.28081,1.60224,1.1393,1.02523,0.0017228,0.0017228,0.0017228
9,1057.15,1.73461,1.27415,1.06075,0.68966,0.45352,0.53172,0.29096,1.57683,1.13034,1.01389,0.0016832,0.0016832,0.0016832
10,1173.65,1.7328,1.26143,1.0499,0.72086,0.46289,0.54353,0.30389,1.53261,1.08573,1.00157,0.0016436,0.0016436,0.0016436
11,1291.57,1.71354,1.24538,1.04083,0.7184,0.45556,0.54742,0.30564,1.53484,1.07652,1.00233,0.001604,0.001604,0.001604
12,1408.14,1.69754,1.22243,1.03746,0.74764,0.44991,0.54434,0.31273,1.50818,1.08491,0.99229,0.0015644,0.0015644,0.0015644
